arousal,neuroticism extraversion magnify discrepancies retrospective concurrent affect reports research relies retrospective affect reports personality role retrospective reports converge deviate affect reported moment micro longitudinal study examines personality neuroticism extraversion emotional salience peak recent affect associations retrospective momentary affect report discrepancies time frames participants num adults aged num num num num years num num caucasian white provided num concurrent affect reports num days retrospectively reported intensity affective state num day num num months multilevel models revealed individuals retrospectively overreported underreported affective states exhibiting peak associations high arousal positive negative affect recency associations low arousal positive affect distinct personality profiles strengthened time individuals high extraversion neuroticism exaggerated high arousal positive negative affect underreported low arousal positive affect high extraversion low neuroticism individuals exaggerated high arousal positive affect underreported low arousal positive affect low extraversion high neuroticism individuals exaggerated high low arousal negative affect study identify arousal specific retrospective affect report discrepancies time suggests retrospective reports reflect personality differences affective knowledge
circadian_rhythms,impaired release corticosterone adrenals contributes impairment circadian rhythms activity hyperammonemic rats patients liver cirrhosis present impaired sleep wake circadian rhythms relative adrenal insufficiency altered hypothalamus pituitary adrenal gland axis underlying mechanisms remain unclear circadian rhythms modulated corticosteroids secretion regulated axis hyperammonemia alters circadian rhythms activity corticosterone rats aims num assessing corticosterone alterations responsible altered circadian rhythm hyperammonemia num shed light mechanism corticosterone circadian rhythm altered hyperammonemia effects daily corticosterone injection circadian rhythms activity plasma corticosterone adreno corticotropic hormone hypothalamic corticotropic releasing hormone assessed control hyperammonemic rats induced corticosterone release analyzed cultured adrenal cells corticosterone injection restores corticosterone peak hyperammonemic rats activity circadian rhythm plasma hypothalamus increased hyperammonemic rats corticosterone injection normalizes chronic hyperammonemia impairs adrenal function reduces corticosterone content induced corticosterone release adrenals leading reduced feedback modulation axis corticosterone contributes impair circadian rhythms activity impaired circadian rhythms motor activity corrected hyperammonemia hepatic encephalopathy corticosterone treatment
arousal,dissociable effects valence arousal adaptive executive control based introspectionist semantic psychophysiological experimental frameworks long assumed affective states derive independent basic dimensions valence arousal study investigated valence arousal dissociable level affect related cognitive processing examined valence negative positive arousal low high influence performance tasks requiring executive control recent research dissociable cognitive components involved regulation task performance amount current control strength filtering goal irrelevant signals control adaptation strength maintaining current goals time visual pop distractor task found control exclusively modulated arousal interference goal irrelevant signals largest high arousal states independently valence contrast control adaptation exclusively modulated valence increase control trials goal irrelevant signals present largest negative states independent arousal monte carlo simulation revealed differential effects experimental factors control control adaptation dissociated correlation empirical interference conflict driven modulation interference case present data observed effects valence arousal adaptive executive control dissociable findings affective influences cognitive processes driven independent effects variations valence arousal resolve heterogeneous findings observed previous studies affect cognition interactions
arousal,sadness happiness amplified solitary listening music previous studies shown music powerful means convey affective states remains unclear social context shape intensity quality emotions perceived music subject design studied question experimental settings subjects versus company direct social interaction feedback vocal musical excerpts emotional qualities happiness sadness rated arousal valence dimensions found evidence amplification perceived emotion solitary listening condition happy music rated happier arousing analogous manner sad music perceived sadder difference explained shift attention presence observed interaction perceived emotion social context differ stimuli cultural origin
arousal,blues broaden nasty narrows attentional consequences negative affects low high motivational intensity positive negative affects high motivational intensity narrowing attentional focus contrast positive affects low motivational intensity broadening attentional focus attentional consequences negative affects low motivational intensity experimentally investigated experiment num compared attentional consequences negative affect low motivational intensity sadness relative neutral affective state results low motivation negative affect caused attentional broadening experiment num found disgust high motivation negative affect previously investigated attentional studies narrowed attentional focus experiments support conceptual model linking high motivation affective states narrowed attention low motivation affective states broadened attention
sustained_threat,error related negativity sustained threat conceptual framework empirical evaluation adolescent sample error related negativity appears physiological measure relation research domain criteria rdoc constructs cognitive control sustained threat reward learning propose conceptual model variance reflects individual differences degree errors evaluated threatening discuss evidence placement sustained threat construct evidence specifically reflect sensitivity endogenous threat present data sample num adolescent females demonstrating larger relation reported checking behaviors older adolescents suggesting sensitivity internal threat checking relationship follow developmental adolescents develop behavioral control contrast depressive symptoms linked smaller association invariant respect age collectively data suggest magnitude sensitive specific anxiety related processes depression opposing directions reflect variation internal threat sensitivity discuss directions future research ways findings complement challenge aspects current rdoc matrix
frustrative_nonreward,perpetration alcohol related aggression male female college students examination overt relational aggression existing literature exemplifies relationship alcohol overt aggression adult males clear relationship alcohol aggression male female college students nature aggression occurrence drinking aggression day temporal proximity study examines chronic temporal nature males females alcohol related aggression college students hundred fourteen students completed web based num day event level survey measuring alcohol consumption perpetration physical aggression verbal aggression anger relational aggression num weeks resulting num num observations days global analysis revealed students heavy drinkers perpetrate forms aggression event level analysis revealed specific forms aggression drinking time forms linked drinking occasions cross tabulation revealed males females verbal physical aggression drinking females drinking relational aggression anger overlooked research aggression emerging adulthood relational aggression prevalent discrepancies global temporal analysis revealed factors alcohol explain relationship chronic alcohol consumption specific forms aggression event level studies show temporal relationship alcohol relational aggression distinctions current study exemplifying diversity alcohol related aggression critical understanding aggressive behavior potential gender differences developing interventions temporal relationship alcohol aggression suggests health interventions target drinking aggression simultaneously
circadian_rhythms,lithium bipolar disorder impacts molecular behavioural circadian rhythms bipolar disorder severe common psychiatric disorder pathogenesis clinical manifestations relapses numerous circadian rhythm abnormalities lithium li line treatment therapeutic action related ability alter circadian rhythms systematically searched pubmed database january num aiming critically examine published studies investigating direct indirect effects li circadian rhythms results num retained studies li acts directly molecular clocks delays phase sleep wakefulness rhythms peak elevation diurnal cycle body temperature reduces amplitude shortens duration activity rhythms lengthens free running rhythms chronic li treatment stabilizes free running activity rhythms improving day day rhythmicity activity effects dose related pharmacogenetics demonstrate associations li response circadian genes gskbeta finally li acts retinal hypothalamic pineal pathway influencing light sensitivity melatonin secretion li highly investigated chronobiologic agent chronobiological effects completely understood highly constitute inherent component therapeutic action treatment mood disorders
loss,nutrition adequacy enhanced recovery surgery single academic center experience prospective observational study initiated determine prevalence nutrition risk surgery assess nutrition adequacy food choices elective colorectal surgery patient generated subjective global assessment screen preoperative clinic patients num scheduled elective colorectal surgery adequacy dietary intake num determined num postoperative days estimating total energy protein intake leftover food meal based standard hospital portions food composition tables food access questionnaire provided rationale observed food intake patients received enhanced recovery surgery room service system care surgery num patients considered nourished num suspected moderately undernourished num severely undernourished fifty percent patients scored num patient generated subjective global assessment indicating requirement dietary intervention symptom management average num num num num num num energy requirements met postoperative days num num num conversely num num num num num num protein requirements met common reasons missed meals included loss appetite feelings fatigue worry preoperative nutrition risk tended result greater num day hospital readmission rate compared nourished patients num patients scheduled elective colorectal surgery nutrition risk acceptable intake dietary protein achieved num days hospitalization preoperative nutrition education part enhanced recovery programs optimize nutrition status surgery mitigate clinical consequences undernutrition empower patients make adequate food choices recovery
acute_threat_fear,attention bias negative emotional information relationship daily worry context acute stress eye tracking study cognitive theories anxiety psychopathology cite biased attention threat central vulnerability maintaining factor studies found threat bias indices poor reliability failed observe theorized relationship threat bias anxiety symptoms due unitary nature threat bias influence state level variables expression accumulating data suggests state anxious mood important robust expression threat bias relations emerge threat bias symptoms possibility experimentally tested eye tracking assess multiple forms threat bias early vigilance sustained attention facilitated engagement delayed disengagement thought related anxiety clinical sample num recruited test hypothesis biased attention threat dysphoric positive emotional stimuli anxious mood induction pre stress baseline prospectively predict greater worry symptoms days naturalistic stressors occurred results revealed hypothesized moderation effect sustained attention threat mood induction baseline sustained attention dysphoric stimuli moderated effect stressors worry worry relevant sustained attention negative emotional stimuli partially mood context dependent phenomenon
