1,156 174 174 174 178 196 442 442 483 897 1235 1389 1570 1573 1765 1800 1862 1927 2179 2370 2376 2414 2501 2501 2703 3006 3006 3157 3319 3319 3453 3658 3834 3852 3852 3881 4065 4148 4178 4179 4199 4248 4303 4373 4373 4480 4480 4480 4683 4765 4810 4885 4885 5061 5061 5289 5362 5547 5548 5612 5695 5736 5737 5742 5742 5768 5848 5848 5849 5857 5905 5949 6311 6381 6383 6432 6465 6526 6805 7016 7324 7386
2,93 93 150 150 151 153 220 260 262 269 316 474 475 579 914 992 1009 1009 1018 1344 1373 1377 1418 1439 1440 1440 1440 1442 1517 1547 2087 2206 2569 2741 2829 2988 3058 3103 3103 3104 3104 3132 3134 3215 3216 3217 3219 3295 3322 3387 3434 3711 3766 3804 3985 3986 4166 4169 4222 4444 4480 4802 4810 4972 4987 5200 5512 5512 5591 5592 5649 5677 5683 5686 5701 5805 5814 5874 5879 5879 6030 6128 6227 6923 6993 7011 7268
1,103 107 174 178 295 442 442 486 605 608 860 869 1087 1089 1187 1258 1368 1377 1377 1425 1524 1562 1711 1801 1825 1919 1919 1921 1941 2016 2087 2087 2191 2375 2396 2398 2445 2523 2604 2612 2691 2705 2843 2844 2996 3006 3294 3300 3301 3351 3353 3461 3473 3541 3554 3565 3578 3694 3749 3830 3852 3888 4166 4169 4197 4303 4505 4841 5045 5061 5200 5228 5271 5272 5398 5548 5652 5667 5761 5768 5787 5857 6053 6172 6197 6383 6430 6464 6465 6669 6671 6805 6931 7135 7135 7157 7234
1,178 298 299 310 442 443 510 1149 1237 1348 1397 1514 1722 1797 1799 1825 1833 2178 2179 2182 2350 2383 2445 2453 2569 2691 2929 2930 2931 3453 3460 3796 3920 3976 4263 4263 4264 4505 4636 4828 4828 5100 5199 5228 5450 5451 5460 5503 5704 5941 5942 5943 6106 6120 6131 6155 6261 6276 6383 6412 6463 6464 6475 6480 6993 7135 7189 7246
1,174 178 180 180 510 511 511 721 777 778 779 902 1154 1216 1292 1368 1885 2444 2446 2449 2658 2691 3006 3006 3453 3453 3554 3788 3852 3852 4144 4219 4219 4220 4220 4286 4287 4288 4289 4303 4303 4381 4480 5061 5229 5677 5826 5943 6381 6383 6464 6548
7,145 146 195 375 395 469 482 632 634 934 959 1089 1107 1170 1216 1325 1327 1368 1377 1495 1524 1562 1646 1680 1705 1706 1755 1759 1800 1838 1872 1973 2191 2225 2297 2298 2339 2341 2350 2580 2612 2663 2704 2750 3315 3484 3547 3693 3715 3787 3882 3960 3978 4144 4305 4480 4552 4594 4952 4976 5200 5271 5337 5513 5612 5618 5667 5671 5675 5737 5768 5792 5869 5953 6065 6066 6245 6311 6312 6522 6524 6591 6613 6793 6793 6795 7153 7156 7298
3,154 155 205 205 205 206 230 230 314 328 605 631 992 1050 1109 1173 1333 1497 1500 1524 1570 1573 1757 1800 1862 1929 1962 2013 2014 2014 2174 2344 2372 2376 2400 2401 2421 2452 2523 2579 2580 2681 2681 2695 2782 2831 2958 2969 3085 3510 3749 3787 3799 3896 3897 3983 4297 4480 4480 4503 4518 4525 4682 4686 4867 4869 4947 5092 5221 5374 5667 5672 5672 5675 5675 5768 5825 5857 5857 6151 6200 6311 6462 6462 6464 6465 6526 6577 6651 6665 6710 6710 6805 7021 7180 7305 7309
2,5 8 83 93 98 200 219 258 303 483 636 694 729 992 995 996 1009 1009 1055 1064 1136 1174 1186 1317 1498 1535 1563 1570 1652 1677 1833 1839 1893 1895 1956 1988 2031 2087 2144 2374 2608 2707 2800 2894 3013 3132 3214 3258 3312 3354 3368 3554 3556 3598 3734 3754 3754 3766 3780 3800 3910 4014 4175 4201 4480 4486 4789 4798 4810 4903 4909 4965 5379 5410 5411 5592 5665 5667 5802 5826 5834 5842 5874 5878 5879 5879 5934 6019 6030 6066 6108 6146 6227 6360 6464 6644 6705 6768 6923 7022 7269
4,25 36 38 64 125 126 396 473 476 559 605 853 916 982 1054 1055 1115 1136 1154 1190 1292 1300 1394 1570 1573 1750 1751 1796 2078 2112 2199 2237 2245 2316 2439 2552 2575 2593 2664 2664 2794 2831 2873 3061 3062 3277 3305 3381 3440 3440 3509 3723 3846 3893 3905 3971 3972 4037 4126 4129 4151 4462 4480 4480 4480 4492 4492 4502 4505 4602 4761 4801 4802 4802 4831 5053 5080 5178 5220 5298 5344 5353 5362 5462 5502 5510 5524 5536 5543 5577 5577 5758 5759 5822 5887 5909 5989 6004 6009 6099 6109 6202 6370 6388 6465 6478 6565 6565 6586 6610 6642 6649 6716 6844 7012 7013 7370
0,56 100 375 378 473 510 510 606 658 658 659 919 1022 1055 1089 1348 1547 1562 1573 1651 1693 1880 2030 2051 2058 2081 2168 2179 2240 2446 2477 2505 2515 2521 2527 2681 2691 2873 3137 3139 3245 3310 3326 3351 3358 3749 3888 4150 4154 4201 4201 4252 4295 4297 4303 4480 4504 4524 4763 4918 5041 5061 5067 5108 5136 5345 5397 5580 5667 5674 5675 5688 5690 5826 5857 5898 5953 6381 6412 6434 6440 6464 6465 6526 6591 6591 6613 6740 6742 6764 6765 6790 6793 6793 6856 7054 7152 7211 7263 7370 7370
